time,,sender_name,content,photos,,videos,link,kdv,,,
2024/03/26,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,Một cậu bé được giáo dục tốt 🫶,https://drive.google.com/thumbnail?id=1BSJ_CoSjhZlIoLiqiVn2xlgliHhXzWhF,,,https://drive.google.com/file/d/1BSJ_CoSjhZlIoLiqiVn2xlgliHhXzWhF/view?usp=sharing,Đạt,Duyệt,,
2024/03/26,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/431332291_827126852558865_7136996534919068871_n.png?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHD8qufydc-B8ng0TQmRMAgmjORD_xxpWSaM5EP_HGlZMBGmtWVY1Dp-UxIwXo6erOk8pIk4C0Z08hrgQo2504m&_nc_ohc=fmbCU6lIspcAX8Oyz3V&_nc_ht=scontent.fhan14-3.fna&oh=03_AdS1od6RmDxWU1px7aEZZKn92IsUzxP_MB3H2UzUGUodWw&oe=662DD007 ,,,,Bách,Duyệt,,
2024/03/26,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,"Thôi xong, Nam Bộ sẽ nắng nóng gay gắt đến hết tháng 5  Nắng nóng ở Nam bộ xuất hiện ngay sau tết với mức nhiệt cao hơn trung bình nhiều năm. Theo dự báo, nắng nóng gay gắt ở Nam bộ sẽ kéo dài đến hết tháng 5. Trong tháng 4 được dự báo là thời kỳ cao điểm của mùa nắng nóng ở Nam bộ nên nắng nóng sẽ rất gay gắt. Nhiều đợt nắng nóng diện rộng với nhiệt độ cao nhất 35 - 38oC và trên 38oC ở miền Đông và từ 35 - 37oC ở miền Tây. Số ngày nắng nóng diện rộng ở miền Đông từ 15 - 20 ngày và 10 - 15 ngày ở khu vực ven biên giới Tây Nam của miền Tây. Qua tháng 5, nhiều đợt nắng nóng diện rộng có thể xuất hiện ở cả miền Đông và miền Tây với nhiệt độ cao nhất 37 - 38oC và trên 38oC ở các tỉnh miền Đông và ven biên giới Tây Nam.  Thôi chuẩn bị xài kem chống nắng dài dài ii.",,,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,Má ơi Sài Gòn lạnh quéo. Nói sao để mấy bạn nhân viên Family tăng độ lên zậy mọi người 🥲,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/433416395_1119786909268724_3803263270215020893_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFqIcKfaialcE1y4X5jNohpDV-3d46iqZINX7d3jqKpkvy5z1cCIZC1wxk6z-7uBu1FriZgNvEGokvW1XjTGCLL&_nc_ohc=eezS909mpA4AX-8JncU&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQvftq7DZcHrNqEDaW_l0hWI6MQyN177NYPltvNYhM_3Q&oe=662DCE95 ,,,,Bách,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,Không ai cả Tui: ăn lại quán cũ làm tui ẻ chải coi bữa nay còn dính hong 💅,,,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,Ảnh quay lại là 2 đứa quay về với đất nha má 🙄,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433486243_427238876376443_6414070344526799741_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHl5cXTJRuf0c8zCqDfbDH0WKFWeAVImaxYoVZ4BUiZrEOXNMYF4j4OPmEkIvqJm0qyueFDRV0LvEAu1-os-ix4&_nc_ohc=49wpUjgMHBwAX9YOtUM&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQCm6ozi0ZkNcIwnauVm79w0dYYgk5_83Uqt49NTKW87A&oe=662DE02A ,,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,https://drive.google.com/file/d/1MQUF8bwZXfZ40xcHUEGWyY4jrMv2Xzwp/view?usp=sharing,https://drive.google.com/thumbnail?id=1MQUF8bwZXfZ40xcHUEGWyY4jrMv2Xzwp,,,https://drive.google.com/file/d/1MQUF8bwZXfZ40xcHUEGWyY4jrMv2Xzwp/view?usp=sharing,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,Chắc mới chốt kèo nhậu với anh em thì vợ kêu đi đón con 🥹,,,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,"Đừng khó chịu khi dạy bố mẹ dùng điện thoại, hãy nhớ ngày xưa khi dạy bạn cầm đũa, họ đã vất vả thế nào.  Mẹ mình mới dùng smartphone, cũng không quen gõ dấu, thế là mình viết ra cách gõ dấu câu để mẹ học dần. Hôm nay, nhận dòng tin nhắn đầy đủ đầu tiên của mẹ, cả mình và mẹ đều rất vui, hạnh phúc vì điều nhỏ bé vậy thôi.  Nhớ nhé, hãy nhẹ nhàng và luôn thương yêu ba mẹ, như cách ba mẹ đã từng chăm sóc mình lúc còn là những đứa nhỏ chập chững.",https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/433696141_281157168362661_433103895982686633_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEKHeVP6Y4a5zS5d8v-ShYL22rc57C2MCjbatznsLYwKMGlah2PBJW6ks0YG21B8l5dH5OajpJvw36KO2O39_0V&_nc_ohc=oOSILQaWA0IAX-lhyaj&_nc_ht=scontent.fhan14-2.fna&oh=03_AdTZMCz6EH0AzjH-P9hPNU8_2S5LEvDNcYFCy4LrEh5A7w&oe=662DD3B0 ,,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,Mấy anh sửa xe mà đi làm sale chắc hoa hồng cao lắm nè 🤣🤣,https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433500391_979211053913249_1504091436841649486_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH8R0EWK3xnwGe_ACZ2ILyCpsCtDLMxjf6mwK0MszGN_rgXi37a5_65RMLXx-GO2sBXQptwnibnW_sj_SbbWJxy&_nc_ohc=wX55y9hT8nQAX8Lej5I&_nc_oc=Adjo0ew78D0L4cCI-gQfF1oUQ59mQRLrJIoxZLGXLyyngQXrguxqCpndrrEJcRdKy3s&_nc_ht=scontent.fhan14-5.fna&oh=03_AdQ5mHwG3Pbg-VbYT6wkLrF1Q2Peml7Vr92sDsW4b0exlw&oe=662DC951 ,,,,Bách,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Bánh Bòa,Kêu 1 Bạch Dương vào đây để nhận Chúc mừng sinh nhật 🤌,,,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Bánh Bòa,https://photos.app.goo.gl/B4N5vQcS8rS8weuh8,,,,https://photos.app.goo.gl/B4N5vQcS8rS8weuh8,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,Có khi xe ông đang ngồi là xe nhà cổ á 😅😅 📸: thaison_018,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433378940_399453563015935_9009961601979446830_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF1fJSBp7PJcd7nk42xrN49MzKIKqrlZ3IzMogqquVncmUmdUfF--ckOQR3W_0oCxCB2YbIegLZLQkCLan1d9nC&_nc_ohc=1dQeFU2B52sAX-Dzoyd&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRlzyngMQiBQ086cY9KLWFj9YeI6D2CB8zFeCiqop0IJg&oe=662DF1D1 ,,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,"Đi Vũng Tàu nhiều rồi, mấy bà đã đến cánh đồng lúa An Nhứt , Bà Rịa - Vũng Tàu chưa?  Đang độ lúa chín, chiều chiều ra nghe mùi lúa mới, ngắm hoàng hôn từ từ buông chill phải biết 🥰  📸: Le Nguyen","https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433468985_891039736154607_9198064795343769670_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF_gBrQFRD_5yds6ilkWowsNtdB1azt7ak210HVrO3tqYP-h0hCykCPbVAfzXeYOZaROBUk2mFZajlYbUaKT5a5&_nc_ohc=FJxqvBZj4asAX8PZtHU&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTdnlLdHf6eRDSpy-ILyB8zfWmTW0wARthHMQY05qojlg&oe=662DBE9B 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433425762_948422260145457_7106762539048866305_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEMy2VUFB0_SgjIe8nJ1N-8MjCkExRY_DsyMKQTFFj8O0kRGz69YVFJRiRccjF0OHg7N3tPXEZSjs7xAQdsk386&_nc_ohc=hjAAQQvw-NwAX9j3bd2&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRxquVrStVYpvRO3S2k1D_v59qsvyQrlnu4FidMHLjwiw&oe=662DE6A1 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/431316051_1462052927739265_3565919656402443850_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHj_3ur_ZrEg5CRry36s4r0lp1R_sPOhKWWnVH-w86EpQS5mXNCyIVzFkCkuw-us8KrsAtdNaMQCtQEXQNIaABH&_nc_ohc=-uilZwX4fRAAX_iZKq3&_nc_ht=scontent.fhan14-5.fna&oh=03_AdRPPYWH87Wmo30nCsSWFnbo5mvDAkZpbioiLpE9wVXBBg&oe=662DD699 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/433401558_918064210116444_4456712817486302209_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHEGwF3DwNfI7AtQkPU1TzALakwCl038v4tqTAKXTfy_ncI8l_cqqyYuiZPJbVAXQKvY4NWBuUv08zNOXSDx9SP&_nc_ohc=mCU8co99VOoAX8ssFjw&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSI1HVRCOE0pHP9lRhy4o1DQJi302IdX1f06WoAQCFx8Q&oe=662DECF3 ",,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,Lương 5 triệu 1 mà đồng nghiệp rủ đặt Pizza 4Ps ăn trưa🥲,,,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,"Đã ai trải nghiệm hết nhà xe ở ""bể khổ"" này chưa??",https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/431210847_781856236814274_5474431539878310449_n.png?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHUWFl4rSUForUTZLhRsPRUXu3KfqrjdaBe7cp-quN1oJRjoN1YJnFhCePK6gesraj4s0JFNYjsNKAVFfIshDfS&_nc_ohc=-7_GnhSi8sQAX-FzcUj&_nc_ht=scontent.fhan14-4.fna&oh=03_AdSmBKFxE5_CpujodXGwXNPxaixakOtNcet8PeEq1poezw&oe=662DE7C3 ,,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,"Xin đường thui mà cũng dễ thương quá dị 🥰  Chúc mừng chị gái ở đường Bia Truyền Thống, Bình Tân có người rước nha 🤣🤣",https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/433235338_1692263607971594_8662859092623462300_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF-eaOJMl0v0fj1yt9t-YyNlb0XkdmjFSSVvReR2aMVJCt9xKpRXE0OPix0AkCIZvFh6AYESouXzx27XKNf29sA&_nc_ohc=fNxyYKas6uwAX8_6VMp&_nc_ht=scontent.fhan14-2.fna&oh=03_AdSj_Ru9_eHHbv3Q1yWnSB0XU--l8BW6MP8sNdQKCHFJGg&oe=662DDF95 ,,,,Đạt,Duyệt,,
2024/03/25,FP - Sài Gòn nghenn,Đồng Lan Phương,Một tiễn xuyên tim 🥹🥹,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/433504355_431394692894586_7789470358629533756_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFgVg2dz8bZ5dev8Oon-gNQx9CX6gmMtWzH0JfqCYy1bIG8_w2gq8VHu7P_GklfELn3nYvE2AMdHjFHTqlSHJ9B&_nc_ohc=cyxJmJcPWU8AX9sN1n1&_nc_ht=scontent.fhan14-2.fna&oh=03_AdRBcA7_9LcpqFC9oxEzv7T6Z_5CQg1J6DPAHjlhlbv43w&oe=662DC21B ,,,,Đạt,Duyệt,,
2024/03/24,FP - Sài Gòn nghenn,Đồng Lan Phương,"Không phải “Lần cuối”, “Thấy chưa” mới là bài hát tui nghĩ đến khi nghe tin Ngọt dừng hoạt động.  Cuộc đời vốn vô thường. Không phải chỉ sự kiện này, mà còn nhiều chuyện khác có thể ập đến tương tự khiến chúng ta thất vọng. Buồn thiệt đó nhưng vẫn phải chấp nhận cất poster vào góc và chờ một ngày mai khi vui trở lại!  Vì “có sao có sao đâu”!  📸: Nguyen Duong",https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/433425635_1132107201137973_3289552018095372217_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH4aDt1UmJTicAd5TaG2T1xhOqSWcMdTFKE6pJZwx1MUkbJ5jvxDH_uuwCipMSqfMRDKwVFtSs5VVLvzwpLZc4G&_nc_ohc=UFwBlRRz2QIAX8nI-PY&_nc_oc=AdiVZ2QLt8ZZsSWBLnNCCGwzhpqJGgUj3L9jxbgeJQhHmXDNqM1_Xd7TGjaG4VinHJk&_nc_ht=scontent.fhan14-4.fna&oh=03_AdRVLaxfrttufxdU4-LNorKbXo9ifPd5uv6zxCtnmxWvaw&oe=662DDDEF ,,,,Bách,Duyệt,,
2024/03/24,FP - Sài Gòn nghenn,Đồng Lan Phương,Bển phát thẻ thành viên ha gì mà anh chị đi xa quá dị 🥹,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/432236008_1087804205668898_5022322598630095130_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHgEg_JelKW0AweMkPxhiG9iwoScQaZFxCLChJxBpkXEB8fzYH0Oz7G-O930Jqu2FjMpVqb31eoTrmPYq13hj26&_nc_ohc=Ii6l57LyB1sAX99TzWw&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSG90hehBK9TSkNubeOj_W34LTsvL_M9hOlKAnHWvC-KQ&oe=662DDC67 ,,,,Bách,Duyệt,,
2024/03/24,FP - Sài Gòn nghenn,Đồng Lan Phương,Tiền nhan sắc của bạn là 100k,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/431758001_1147754386220002_7176191399387786675_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGSa7841f37a0v_NnwUczRYXapPuu9GatNdqk-670Zq02PKmN4A2BaJAH3HOtBl31sb5tK77CMrLlvFKXoSTEvr&_nc_ohc=8yOITX1tT_UAX_ddo3T&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSsljbmo3Jb1HhXx48PFkCYQfcCHv0lRp_MOA299RF_fg&oe=662DD143 ,,,,Đạt,Duyệt,,
2024/03/24,FP - Sài Gòn nghenn,Bánh Bòa,Phát hiện Fubao sau khi hết hạn ở Hàn sẽ về Cần Giờ 😀,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433923797_412501978036402_7896514123855384408_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEwd44nIwANNN19_Aor2mVwAUOmULXXoLUBQ6ZQtdegtWsSHJAawonRWL8Sxf0Jtlp16GJR9r1JHuJmGu4sbQG2&_nc_ohc=tQ5I1eGv5pAAX9CkUMB&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQCw2ftEqP1tnPjy6U_YquxtEx5IaYKGnwcPQAICl8agQ&oe=662DC872 ,,,,Đạt,Duyệt,,
2024/03/24,FP - Sài Gòn nghenn,Đồng Lan Phương,Sáng Chủ Nhật: Người ta: ngủ đến 12h trưa Sinh viên KTX khu B: dậy từ 6h sáng đi cà phê vì KTX cúp điện,,,,,Đạt,Duyệt,,
