time,page,sender_name,content,thumbnail,videos,link,kdv,
2024/03/29,TT - BEATVN,Ánh,https://drive.google.com/file/d/1gyAiqHl8uWENy_-zrawaW8hIzCr1xH1s/view?usp=sharing,https://drive.google.com/thumbnail?id=1gyAiqHl8uWENy_-zrawaW8hIzCr1xH1s,,https://drive.google.com/file/d/1gyAiqHl8uWENy_-zrawaW8hIzCr1xH1s/view?usp=sharing,Đạt,Duyệt
2024/03/29,TT - BEATVN,Khánh Vũ,https://drive.google.com/file/d/1q5JsepJwx09Pfe3ljKpHIHKDHTaNHIYb/view?usp=drive_link,https://drive.google.com/thumbnail?id=1q5JsepJwx09Pfe3ljKpHIHKDHTaNHIYb,,https://drive.google.com/file/d/1q5JsepJwx09Pfe3ljKpHIHKDHTaNHIYb/view?usp=drive_link,Đạt,Duyệt
2024/03/29,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/18lwQAOI3gDFSw3MaifSHcBPvHA1eFi_T/view?usp=drive_link,https://drive.google.com/thumbnail?id=18lwQAOI3gDFSw3MaifSHcBPvHA1eFi_T,,https://drive.google.com/file/d/18lwQAOI3gDFSw3MaifSHcBPvHA1eFi_T/view?usp=drive_link,Đạt,Duyệt
2024/03/29,TT - BEATVN,Luu Viet Hoang,https://drive.google.com/file/d/1zsUm3vyFTyEzT-8ycNuGqvxE6xZsqu7a/view?usp=drive_link,https://drive.google.com/thumbnail?id=1zsUm3vyFTyEzT-8ycNuGqvxE6xZsqu7a,,https://drive.google.com/file/d/1zsUm3vyFTyEzT-8ycNuGqvxE6xZsqu7a/view?usp=drive_link,Đạt,Duyệt
2024/03/29,TT - BEATVN,Ánh,https://drive.google.com/file/d/1AqGE-97ZSgjjlKOzKSHcx1y9jgOdRzR-/view?usp=sharing,https://drive.google.com/thumbnail?id=1AqGE-97ZSgjjlKOzKSHcx1y9jgOdRzR-,,https://drive.google.com/file/d/1AqGE-97ZSgjjlKOzKSHcx1y9jgOdRzR-/view?usp=sharing,Đạt,Duyệt
2024/03/29,TT - BEATVN,Luu Viet Hoang,https://drive.google.com/file/d/1jmaruba1WOtZd1H8H2IEgZbcykcLJ7SA/view?usp=drive_link,https://drive.google.com/thumbnail?id=1jmaruba1WOtZd1H8H2IEgZbcykcLJ7SA,,https://drive.google.com/file/d/1jmaruba1WOtZd1H8H2IEgZbcykcLJ7SA/view?usp=drive_link,Đạt,Duyệt
2024/03/29,TT - Beatvn Viral World,Quang Hiếu,https://drive.google.com/file/d/1Ogowbi5XQ5CQWOZp81O2gJyG8-mS_K79/view?usp=sharing,https://drive.google.com/thumbnail?id=1Ogowbi5XQ5CQWOZp81O2gJyG8-mS_K79,,https://drive.google.com/file/d/1Ogowbi5XQ5CQWOZp81O2gJyG8-mS_K79/view?usp=sharing,Đạt,Duyệt
2024/03/29,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/1alh4zQLydI099allhUrt3BIky7ajxmgh/view?usp=drive_link,https://drive.google.com/thumbnail?id=1alh4zQLydI099allhUrt3BIky7ajxmgh,,https://drive.google.com/file/d/1alh4zQLydI099allhUrt3BIky7ajxmgh/view?usp=drive_link,Đạt,Duyệt
2024/03/29,TT - Beatvn Viral World,Quang Hiếu,https://drive.google.com/file/d/1tOFTuXZHF8utERvazPntqVjWWSHB5EZK/view?usp=sharing,https://drive.google.com/thumbnail?id=1tOFTuXZHF8utERvazPntqVjWWSHB5EZK,,https://drive.google.com/file/d/1tOFTuXZHF8utERvazPntqVjWWSHB5EZK/view?usp=sharing,Đạt,Duyệt
2024/03/29,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/1iOL-YfZstVKfC-82k01MDUGNBbmSCNah/view?usp=drive_link,https://drive.google.com/thumbnail?id=1iOL-YfZstVKfC-82k01MDUGNBbmSCNah,,https://drive.google.com/file/d/1iOL-YfZstVKfC-82k01MDUGNBbmSCNah/view?usp=drive_link,Đạt,Duyệt
2024/03/28,TT - BEATVN,Luu Viet Hoang,https://drive.google.com/file/d/11t-u663s8gQy1OE7zjcfakei011Qf6Ri/view?usp=drive_link,https://drive.google.com/thumbnail?id=11t-u663s8gQy1OE7zjcfakei011Qf6Ri,,https://drive.google.com/file/d/11t-u663s8gQy1OE7zjcfakei011Qf6Ri/view?usp=drive_link,Đạt,Duyệt
2024/03/28,TT - BEATVN,Luu Viet Hoang,https://drive.google.com/file/d/1YNVoQowVwxajhmFBYD8vE-5YsbZQlx0W/view?usp=drive_link,https://drive.google.com/thumbnail?id=1YNVoQowVwxajhmFBYD8vE-5YsbZQlx0W,,https://drive.google.com/file/d/1YNVoQowVwxajhmFBYD8vE-5YsbZQlx0W/view?usp=drive_link,Đạt,Duyệt
2024/03/28,TT - Beatvn Viral World,Quang Hiếu,https://drive.google.com/file/d/17EjfWt_nU9iOnfqug-INz3QmAJkdsh5y/view?usp=sharing,https://drive.google.com/thumbnail?id=17EjfWt_nU9iOnfqug-INz3QmAJkdsh5y,,https://drive.google.com/file/d/17EjfWt_nU9iOnfqug-INz3QmAJkdsh5y/view?usp=sharing,Đạt,Duyệt
2024/03/28,TT - BEATVN,Khánh Vũ,https://drive.google.com/file/d/1LWMkpcYHB7o565qbkR8TikTHXofcJZ6m/view?usp=drive_link,https://drive.google.com/thumbnail?id=1LWMkpcYHB7o565qbkR8TikTHXofcJZ6m,,https://drive.google.com/file/d/1LWMkpcYHB7o565qbkR8TikTHXofcJZ6m/view?usp=drive_link,Đạt,Duyệt
2024/03/28,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/1aTjOxY-wbDwMpVu6bJKA8sC2P2PkPEvP/view?usp=drive_link,https://drive.google.com/thumbnail?id=1aTjOxY-wbDwMpVu6bJKA8sC2P2PkPEvP,,https://drive.google.com/file/d/1aTjOxY-wbDwMpVu6bJKA8sC2P2PkPEvP/view?usp=drive_link,Đạt,Duyệt
2024/03/28,TT - Beatvn Viral World,Quang Hiếu,https://drive.google.com/file/d/10nrJWKkSDtgmbWRfBBrQtIjRvq_FiAks/view?usp=sharing,https://drive.google.com/thumbnail?id=10nrJWKkSDtgmbWRfBBrQtIjRvq_FiAks,,https://drive.google.com/file/d/10nrJWKkSDtgmbWRfBBrQtIjRvq_FiAks/view?usp=sharing,Bách,Duyệt
2024/03/28,TT - HelloVietNam,Khánh Vũ,https://drive.google.com/file/d/1xzrrZSqVSHwGjWue3SvlyHJs97Hboh98/view?usp=drive_link,https://drive.google.com/thumbnail?id=1xzrrZSqVSHwGjWue3SvlyHJs97Hboh98,,https://drive.google.com/file/d/1xzrrZSqVSHwGjWue3SvlyHJs97Hboh98/view?usp=drive_link,Đạt,Duyệt
2024/03/28,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/1_WczJQrvGnGrtBrr7Ji-KKNzfX9DkZil/view?usp=drive_link,https://drive.google.com/thumbnail?id=1_WczJQrvGnGrtBrr7Ji-KKNzfX9DkZil,,https://drive.google.com/file/d/1_WczJQrvGnGrtBrr7Ji-KKNzfX9DkZil/view?usp=drive_link,Đạt,Duyệt
2024/03/28,TT - Beatvn Viral World,Quang Hiếu,https://drive.google.com/file/d/1yXKjtRc3IR_PX0iteBnmw9Ze7OkIxZK7/view?usp=sharing,https://drive.google.com/thumbnail?id=1yXKjtRc3IR_PX0iteBnmw9Ze7OkIxZK7,,https://drive.google.com/file/d/1yXKjtRc3IR_PX0iteBnmw9Ze7OkIxZK7/view?usp=sharing,Đạt,Duyệt
2024/03/28,TT - BEATVN,Khánh Vũ,https://drive.google.com/file/d/1x3pccslxlo1or8YANmPUqOpVA2ZW46vx/view?usp=drive_link,https://drive.google.com/thumbnail?id=1x3pccslxlo1or8YANmPUqOpVA2ZW46vx,,https://drive.google.com/file/d/1x3pccslxlo1or8YANmPUqOpVA2ZW46vx/view?usp=drive_link,Đạt,Duyệt
2024/03/28,TT - BEATVN,Luu Viet Hoang,"Mới thêm 3 ảnh này, nội dung vẫn vậy nha BKD",,,,Đạt,Duyệt
2024/03/28,TT - BEATVN,Luu Viet Hoang,https://drive.google.com/file/d/1yMXwu8cF681TO-40R4ddnJiFkn_0WvTC/view?usp=drive_link,https://drive.google.com/thumbnail?id=1yMXwu8cF681TO-40R4ddnJiFkn_0WvTC,,https://drive.google.com/file/d/1yMXwu8cF681TO-40R4ddnJiFkn_0WvTC/view?usp=drive_link,Đạt,Duyệt
2024/03/28,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/1w6bSRKgK8qxXBpJ9YIMsQxydTjxysotJ/view?usp=drive_link,https://drive.google.com/thumbnail?id=1w6bSRKgK8qxXBpJ9YIMsQxydTjxysotJ,,https://drive.google.com/file/d/1w6bSRKgK8qxXBpJ9YIMsQxydTjxysotJ/view?usp=drive_link,Đạt,Duyệt
,,,,,,,,
,,,,,,,,
,,,,,,,,
,page,,,,,,,
,TT - Beatvn Viral World,,,,,,,
,TT - BEATVN,,,,,,,
,TT - SHOWBEAT,,,,,,,
,TT - SHOWBEAT,,,,,,,
,TT - SHOWBEAT,,,,,,,
,TT - Beatvn Viral World,,,,,,,
,TT - SHOWBEAT,,,,,,,
,TT - SHOWBEAT,,,,,,,
,TT - BEATVN,,,,,,,
,TT - BEATVN,,,,,,,
,TT - BEATVN,,,,,,,
,TT - BEATVN,,,,,,,
,TT - SHOWBEAT,,,,,,,
,TT - BEATVN,,,,,,,
,TT - BEATVN,,,,,,,
,TT - BEATVN,,,,,,,
,TT - Beatvn Viral World,,,,,,,
,TT - SHOWBEAT,,,,,,,
,TT - Beatvn Viral World,,,,,,,
,TT - SHOWBEAT,,,,,,,
,TT - BEATVN,,,,,,,
,TT - BEATVN,,,,,,,
,TT - Beatvn Viral World,,,,,,,
,TT - BEATVN,,,,,,,
,TT - SHOWBEAT,,,,,,,
,TT - Beatvn Viral World,,,,,,,
,TT - HelloVietNam,,,,,,,
,TT - SHOWBEAT,,,,,,,
,TT - Beatvn Viral World,,,,,,,
,TT - BEATVN,,,,,,,
,TT - BEATVN,,,,,,,
,TT - BEATVN,,,,,,,
,TT - SHOWBEAT,,,,,,,
